Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Joey Bart","PIT",16,63,0,2,4,0,0.111111111,0.158730158,0.036363636,0.266666666,0.218181818,0.317460317,0.254545454,0.26991564886910574,,67.07869802567595,-0.45671309623867273,-2.859025684322403,0.6739022724796087,-0.012885693334256723,"Joey Bart",21524,663698
"Gabriel Arias","CLE",16,61,0,5,8,0,0.049180327,0.245901639,0.036363636,0.31707317,0.236363636,0.283333333,0.272727272,0.2519610752662023,,58.72857549130451,-0.2768002185039222,-3.142049985868109,0.9714508652687073,-0.01690655856379618,"Gabriel Arias",22563,672356
"George Springer","TOR",16,66,3,11,6,2,0.151515151,0.303030303,0.218181819,0.21875,0.181818181,0.307692307,0.4,0.3156427640181321,,103.32572425296162,0.26741740602301434,0.5172294454732832,-2.8763824235647917,-0.019402833764636654,"George Springer",12856,543807
"Nick Kurtz","ATH",16,61,2,7,5,0,0.098360655,0.278688524,0.185185185,0.25,0.203703703,0.278688524,0.388888888,0.29153987032468204,,85.40956471661752,0.12754977960139513,-0.8853845157158382,-1.3913447419181466,-0.027987583504941155,"Nick Kurtz",35110,701762
"Michael Harris II","ATL",18,74,0,1,8,1,0.081081081,0.202702702,0.104477612,0.264150943,0.208955223,0.27027027,0.313432835,0.2531508109340929,,56.98156423276799,-0.12440410535782576,-3.811617726191201,0.9710711818188429,-0.043732753580369654,"Michael Harris II",25931,671739
"Jonathan India","KCR",16,70,1,6,7,0,0.057142857,0.114285714,0.123076923,0.285714285,0.261538461,0.314285714,0.384615384,0.3097777826445443,,93.48844230211148,-0.038229516707360744,-0.5569890907657516,-2.1814839020371437,-0.04525508125599691,"Jonathan India",21523,663697
"Jung Hoo Lee","SFG",17,74,3,7,13,0,0,0.108108108,0.152777778,0.193548387,0.208333333,0.216216216,0.361111111,0.24823834847759557,,56.81088245962927,0.6221991707570851,-3.079643995468186,0.20943269148119725,-0.04683004479611244,"Jung Hoo Lee",33824,808982
"JJ Bleday","ATH",15,59,4,9,7,0,0.084745762,0.237288135,0.277777777,0.166666666,0.185185185,0.254237288,0.462962962,0.30238380000509063,,92.98612465955377,-0.4738987780874595,-0.9448687803563587,-1.5046244461555034,-0.052902069713476586,"JJ Bleday",26368,668709
"Gavin Lux","CIN",14,57,0,3,5,0,0.087719298,0.263157894,0.134615384,0.351351351,0.25,0.315789473,0.384615384,0.3092777498981409,,90.16244769809114,-0.1967831696383655,-0.8462752728936767,-1.5299083292484283,-0.05333544465608822,"Gavin Lux",19955,666158
"Spencer Steer","CIN",18,70,1,7,3,2,0.057142857,0.285714285,0.121212121,0.333333333,0.242424242,0.285714285,0.363636363,0.28671599456242153,,74.67323002805597,0.06872682413086295,-1.9847500255512678,-0.907649009488523,-0.06281412616205741,"Spencer Steer",26323,668715
